year,songtitle,artistname,songID,artistID,timesignature,timesignature_confidence,loudness,tempo,tempo_confidence,key,key_confidence,energy,pitch,timbre_0_min,timbre_0_max,timbre_1_min,timbre_1_max,timbre_2_min,timbre_2_max,timbre_3_min,timbre_3_max,timbre_4_min,timbre_4_max,timbre_5_min,timbre_5_max,timbre_6_min,timbre_6_max,timbre_7_min,timbre_7_max,timbre_8_min,timbre_8_max,timbre_9_min,timbre_9_max,timbre_10_min,timbre_10_max,timbre_11_min,timbre_11_max,Top10
2001,Missing You,Case,SORYFDD1315CD460C5,ARB5OU21187FB4FDDB,4,1.0,-7.39,86.316,1.0,4,0.243,0.568254326,0.001,0.0,56.825,-86.764,239.381,-131.045,203.074,-194.516,153.415,-75.068,131.578,-133.659,144.704,-68.642,77.725,-123.528,83.009,-113.939,71.194,-48.871,76.71600000000002,-63.41,65.285,-62.665,50.495,1
2001,Dumb Love,Stone Temple Pilots,SOCKFHL1315CD40CFC,ARTAFV91187B9BA17C,4,0.971,-5.539,142.352,0.335,2,0.091,0.992913177,0.045,0.0,55.532,20.677,171.13,-161.179,74.911,-138.02700000000002,410.009,-41.24,57.49100000000001,-82.311,99.047,-76.699,35.085,-70.98,111.043,-32.656,36.561,-56.479,59.731,-71.435,82.45,-44.867,24.017,0
1992,Natural Beauty,Neil Young,SOBEAWQ12A58A7D46B,ARWT91C1187B9ACEAA,4,0.785,-13.552,117.219,0.8420000000000001,4,0.408,0.364759722,0.009000000000000001,0.0,53.898,-158.791,364.538,-81.568,152.861,-186.346,99.404,-56.268,124.101,-84.61399999999998,78.342,-102.929,63.37600000000001,-72.173,77.788,-87.884,62.258,-63.637,64.71,-56.457,46.99100000000001,-38.582,59.89100000000001,0
1995,Someone To Love,Jon B.,SOUXYTT130516E1D82,ARO80D41187B9B8D8F,4,0.807,-15.826,136.011,0.898,9,0.187,0.269862696,0.006,0.086,46.25,-163.702,318.219,-194.056,70.931,-152.524,153.253,-32.48,120.856,-106.246,184.131,-68.57,39.965,-67.27199999999999,110.787,-51.476000000000006,40.813,-87.43700000000003,102.635,-50.029,72.936,-29.057,46.21100000000001,1
2010,Today Was A Fairytale,Taylor Swift,SOEJCYN1392B1868A6,ARS54I31187FB46721,4,1.0,-15.539,81.429,0.345,7,0.59,0.487615516,0.013,15.018,47.952,-46.827,191.705,-101.806,123.214,-118.667,110.191,-45.937,86.24700000000001,-88.48200000000001,178.11900000000003,-85.846,54.244,-80.039,83.071,-52.402,40.885,-50.284,60.526,-70.844,66.66,-44.898,36.241,1
1990,Black Cat,Janet Jackson,SOMCQQS137785CA24C,ART4QZC1187FB51612,4,1.0,-7.683,114.95,0.8390000000000001,4,0.602,0.910505719,0.039,6.211,54.985,-152.836,183.648,-165.65200000000004,110.489,-163.391,140.584,-53.269,74.374,-108.657,200.392,-72.27199999999998,80.947,-71.0,52.685,-35.726,57.862,-49.125,64.962,-97.354,105.239,-62.69300000000001,55.361,1
1993,Come Undone,Duran Duran,SOUNZHN137405DB37E,AR9L6R11187B9AA3F2,4,0.7979999999999999,-12.021,87.023,0.59,0,0.068,0.816832873,0.006999999999999999,14.691,52.08,-124.439,234.018,-153.761,197.596,-306.494,136.899,-70.858,104.966,-107.142,126.768,-87.56299999999997,55.154,-89.352,71.743,-53.82100000000001,52.476000000000006,-62.357,67.575,-89.441,85.554,-46.04600000000001,49.987,1
2002,Brasil,Soulfly,SOSYDQF13772D8F921,ARD1X7Y1187B9A671F,3,0.674,-6.247999999999998,145.19799999999995,0.35100000000000003,6,0.475,0.952128351,0.025,0.16399999999999998,55.625,-48.628,235.174,-144.47899999999996,180.524,-105.228,263.817,-72.21300000000002,132.694,-164.1,109.394,-99.009,89.811,-76.102,124.112,-59.839,57.506,-58.361,56.176,-61.41,47.611,-36.134,52.05,0
2005,Why I Lie,Liz Phair,SOEVIHK12A67AE098D,AR8886N1187B9B330A,4,1.0,-4.484,113.071,1.0,9,0.486,0.895776859,0.01,0.0,58.413,-47.339,203.275,-138.649,156.734,-258.498,290.595,-95.56,77.699,-106.803,214.777,-71.91,80.702,-76.992,105.459,-57.718,59.90600000000001,-60.159,58.504,-132.535,52.108,-58.09,42.087,0
2002,Older,They Might Be Giants,SOPTXCN131712D0A95,ARDW1CO1187B9AD318,4,1.0,-11.687,116.045,0.5710000000000001,2,0.431,0.256008846,0.005,0.084,54.06800000000001,-136.325,290.884,-149.497,188.428,-288.536,387.451,-54.006,128.053,-67.82,214.87,-88.31700000000002,65.274,-113.055,147.864,-71.66199999999998,43.242,-55.591,90.167,-156.77,61.359,-53.289,41.85,0
2008,Disturbia,Rihanna,SONULWU13AA4EEECB3,ARKU3Z61187FB51DCA,4,0.925,-16.344,128.789,0.955,11,0.828,0.492501662,0.011,20.294,47.49,-76.516,203.919,-104.782,324.004,-177.085,165.372,-54.342,102.53,-114.602,159.554,-97.214,94.001,-79.196,72.082,-60.072,54.019,-54.716,62.279,-95.884,54.067,-54.999,48.99,1
2004,Mary Melody,Mad Caddies,SOQTZGD137784941B4,AR6CHEQ1187B9B846F,4,0.981,-4.3580000000000005,135.222,0.48,4,0.26,0.915907802,0.009000000000000001,10.675,58.014,-90.867,304.4190000000001,-115.014,117.682,-278.567,130.379,-140.826,109.178,-121.155,127.633,-73.733,65.967,-106.917,130.67700000000002,-89.96,47.728,-39.229,66.622,-120.569,36.575,-48.716,52.197,0
1999,Jay-Z,Silkk the Shocker,SOESJDW12AB0189532,ARETRWR12FE0870CF0,4,1.0,-6.314,87.84899999999998,0.944,5,0.461,0.688971892,0.006999999999999999,0.0,56.378,-89.905,210.009,-238.435,126.318,-163.24,373.934,-64.89699999999999,114.945,-198.025,145.493,-112.098,86.14200000000002,-132.765,138.474,-57.43,64.998,-82.875,87.962,-114.666,54.31,-56.61600000000001,34.23,0
2010,Down,Jay Sean,SOLGYIW13777609C0D,AR9B7FG1187B9A5C96,4,0.987,-5.061,131.85399999999998,0.718,2,0.643,0.696117137,0.004,0.0,56.82,-70.822,300.71,-134.57,124.412,-139.245,169.044,-74.892,94.528,-110.015,140.621,-97.632,66.35300000000001,-89.538,92.476,-80.023,65.905,-92.117,84.751,-76.27199999999998,49.93,-67.922,47.25,1
1995,I Know,Dionne Farris,SOEHLQD13696ADBB1A,ARIW11I1187FB57F3A,4,1.0,-6.0470000000000015,103.38,1.0,7,0.275,0.97579883,0.024,0.0,57.99800000000001,-27.318,219.739,-104.412,117.324,-121.061,191.831,-72.727,78.707,-80.02,104.299,-82.495,75.881,-111.809,105.813,-55.892,46.538,-59.959,70.809,-78.825,68.472,-38.563,62.197,1
2010,Fireflies,Owl City,SOUHPJB13ADBFFD9C3,AR0WLH6119B8669027,4,0.931,-18.597,94.915,0.81,3,0.262,0.367873268,0.001,10.672,46.06,-114.082,203.474,-154.345,187.147,-131.336,199.948,-63.03100000000001,177.94,-117.777,144.709,-76.23899999999998,97.498,-102.315,104.898,-69.367,45.449,-74.37100000000002,88.029,-112.625,51.674,-53.593,68.805,1
1993,Bed Of Roses,Bon Jovi,SOJIARZ1373E968E32,ARDVZTE1187FB5A0A1,3,0.209,-5.32,83.791,0.473,5,0.626,0.771145909,0.005,0.0,57.828,-71.798,202.314,-69.01,217.877,-106.299,282.641,-57.532,103.623,-80.217,31.746,-83.219,100.519,-67.751,64.756,-52.152,55.582,-56.433,43.039,-106.173,43.301,-62.01600000000001,54.103,1
2002,Family Affair,Mary J. Blige,SOURTQQ1374015C43F,AR5DC8S1187B9958BE,4,0.657,-13.029000000000002,193.618,0.5660000000000001,9,0.0,0.394330758,0.005,21.32,48.784,-46.131,166.21099999999996,-164.78400000000005,166.229,-152.014,298.469,-52.32100000000001,112.249,-199.194,167.662,-119.906,75.523,-118.068,63.285,-63.427,60.584,-79.956,69.183,-92.541,100.201,-55.352,47.801,1
2003,Four Minute Warning,Mark Owen,SOPUQZR12AF72A29BC,ARCTPTG1187FB5638E,4,0.994,-4.498,122.042,0.867,0,0.391,0.919679812,0.012,0.0,58.316,-111.108,297.157,-147.14,139.232,-209.151,77.359,-43.58600000000001,88.24600000000002,-96.223,228.258,-74.344,90.89,-93.588,118.158,-60.708,53.82899999999999,-49.294,67.07600000000001,-52.744,42.903,-56.643,65.446,0
2002,Boss of Me,They Might Be Giants,SOWNCJD1312FDFB56E,ARDW1CO1187B9AD318,4,1.0,-2.897,100.775,1.0,9,0.224,0.971644414,0.018000000000000002,0.0,59.282,-75.027,242.068,-115.945,85.541,-132.217,302.569,-58.826,97.977,-113.616,63.50899999999999,-84.555,65.47,-90.185,108.853,-71.789,32.824,-63.033,91.419,-139.115,33.995,-32.685,41.537,0
2006,Pullin' Me Back,Chingy,SOCLXCH1311AFED47F,ARQGG4D1187B9B859C,4,0.962,-7.336,79.998,0.445,7,0.895,0.495654312,0.001,0.0,54.705,-114.356,192.729,-181.789,129.898,-265.27,371.441,-53.958,174.206,-219.018,207.283,-97.687,75.20100000000002,-92.475,100.687,-60.79,47.152,-76.23899999999998,84.359,-138.733,55.221,-56.746,65.351,1
2004,My Boo,Usher & Alicia Keys,SOZAQPO13D3A5D4B7B,ARRLJGE13A4B40020F,4,1.0,-8.088,86.395,0.923,7,0.412,0.489008478,0.002,0.086,56.027,-67.803,263.057,-136.496,192.153,-244.127,146.609,-96.77,159.411,-103.195,134.016,-96.39,71.03,-77.35,81.074,-65.62100000000001,67.722,-59.442,87.27,-74.852,79.067,-49.949,47.89,1
2005,Subotnick,Caribou,SOTXAGC1311AFECFEF,ARLH82S1187FB4DF10,4,0.72,-17.68,70.479,0.335,0,0.0,0.074984345,0.013,0.597,48.99800000000001,-240.079,235.315,-111.345,66.616,-119.344,135.248,-70.632,117.124,-62.044,72.765,-100.567,20.065,-68.325,95.743,-52.485,49.945,-46.507,52.846,-53.613,25.394,-15.986,35.19300000000001,0
2002,Gotta Get Thru This,Daniel Bedingfield,SODOOYT1376D44BE5B,ARRTPWX1187B99199A,4,1.0,-9.334,130.054,0.219,5,0.387,0.298514132,0.001,0.0,56.411,-147.45,403.371,-193.08,163.62,-312.486,201.547,-95.257,143.908,-127.687,177.638,-110.059,63.344,-164.80700000000004,133.036,-77.814,59.412,-87.19200000000002,95.641,-116.435,119.872,-57.53,45.302,1
2009,Hello (Interlude),Newton Faulkner,SOHHUHJ12AB0189148,ARIIT891187B9AFD62,4,1.0,-25.06,145.30100000000004,0.918,3,0.0,0.313356962,0.001,0.0,37.846,-170.15200000000004,171.13,-114.821,9.469,-117.069,159.657,-42.002,76.557,-71.583,160.026,-100.995,14.833,-63.066,66.249,-36.302,35.058,-47.911,38.204,-59.74,38.753,-29.707,17.758,0
